train_mask,val_mask,test_mask
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
True,False,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
False,True,False
